,DHI,DNI,OATmp,ZnT,ZnT Occ Htg Sp,ZnT Clg Sp Eff,ZnT Htg Sp Eff,Htg Stage 1,SF Sts,Htg Stage 2,Clg Stage 1,Clg Stage 2,Occ Sched Cmd,Total Power,hour_of_day,day_of_week,Clg Stages,Htg Stages
2024-04-18 00:00:00-07:00,0,0,48,72.06,69,85,65,0,0,0,0,0,0,0.32039666,0,3,0,0
2024-04-18 00:05:00-07:00,0,0,47.71666666666667,72.01,69,85,65,0,0,0,0,0,0,0.320405,0,3,0,0
2024-04-18 00:10:00-07:00,0,0,47.43333333333334,71.99,69,85,65,0,0,0,0,0,0,0.32089666,0,3,0,0
2024-04-18 00:15:00-07:00,0,0,47.15,71.9,69,85,65,0,0,0,0,0,0,0.32081,0,3,0,0
2024-04-18 00:20:00-07:00,0,0,46.86666666666667,71.83,69,85,65,0,0,0,0,0,0,0.3209561,0,3,0,0
2024-04-18 00:25:00-07:00,0,0,46.583333333333336,71.740005,69,85,65,0,0,0,0,0,0,0.32079667,0,3,0,0
2024-04-18 00:30:00-07:00,0,0,46.3,71.65,69,85,65,0,0,0,0,0,0,0.32108,0,3,0,0
2024-04-18 00:35:00-07:00,0,0,46.016666666666666,71.54,69,85,65,0,0,0,0,0,0,0.3211,0,3,0,0
2024-04-18 00:40:00-07:00,0,0,45.733333333333334,71.5,69,85,65,0,0,0,0,0,0,0.32134667,0,3,0,0
2024-04-18 00:45:00-07:00,0,0,45.45,71.5,69,85,65,0,0,0,0,0,0,0.32093,0,3,0,0
2024-04-18 00:50:00-07:00,0,0,45.16666666666667,71.5,69,85,65,0,0,0,0,0,0,0.32098833,0,3,0,0
2024-04-18 00:55:00-07:00,0,0,44.88333333333333,71.5,69,85,65,0,0,0,0,0,0,0.32147333,0,3,0,0
2024-04-18 01:00:00-07:00,0,0,44.6,71.5,69,85,65,0,0,0,0,0,0,0.32035,1,3,0,0
2024-04-18 01:05:00-07:00,0,0,44.575,71.5,69,85,65,0,0,0,0,0,0,0.3202311,1,3,0,0
2024-04-18 01:10:00-07:00,0,0,44.55,71.5,69,85,65,0,0,0,0,0,0,0.32017332,1,3,0,0
2024-04-18 01:15:00-07:00,0,0,44.525,71.45,69,85,65,0,0,0,0,0,0,0.31846666,1,3,0,0
2024-04-18 01:20:00-07:00,0,0,44.5,71.45,69,85,65,0,0,0,0,0,0,0.31633,1,3,0,0
